x,y
0.0,0.0
0.001,9.230751666
0.003,105.558208353
0.005,327.757423482
0.007,691.296757875
0.009,1207.110293304
0.011,1883.848800692
0.013,2728.747951869
0.015,3748.068158471
0.017,4947.351587514
0.019,6331.586642991
0.021,7905.320156346
0.023,9672.737625249
0.025,11637.722748674
0.027,13803.902917074
0.029,16174.684816703
0.031,18753.2828609
0.033,21542.742282496
0.035,24545.958165441
0.037,27765.691329581
0.039,31204.581736814
0.041,34865.159916864
0.043,38749.856790582
0.045,42861.012181815
0.047,47200.882245096
0.049,51771.645988751
0.051,56575.411036986
0.053,61614.218746828
0.055,66890.048774373
0.057,72404.823167929
0.059,78160.410052325
0.061,84158.626957994
0.063,90401.243839838
0.065,96889.985823919
0.067,103626.535714294
0.069,110612.536287603
0.071,117849.592399131
0.073,125339.272920799
0.075,133083.112528812
0.077,141082.613356394
0.079,149339.246525089
0.081,157854.453566446
0.083,166629.647744488
0.085,175666.215288157
0.087,184965.516541852
0.089,194528.887041312
0.091,204357.638521256
0.093,214453.05986055
0.095,224816.417970047
0.097,235448.958627727
0.099,246351.907265303
0.101,257526.469710044
0.103,268973.832885216
0.105,280695.165472227
0.107,292691.618537242
0.109,304964.326124841
0.111,317514.405821015
0.113,330342.959287612
0.115,343451.072770186
0.117,356839.817580989
0.119,370510.250558753
0.121,384463.414506747
0.123,398700.338610475
0.125,413222.038836285
0.127,428029.518312062
0.129,443123.767691069
0.131,458505.765499945
0.133,474176.478471779
0.135,490136.861865119
0.137,506387.859769709
0.139,522930.405399697
0.141,539765.421374994
0.143,556893.81999144
0.145,574316.503480359
0.147,592034.364258072
0.149,610048.285165879
0.151,628359.13970101
0.153,646967.792238996
0.155,665875.098247879
0.157,685081.90449468
0.159,704589.049244483
0.161,724397.362452503
0.163,744507.665949464
0.165,764920.773620598
0.167,785637.49157856
0.169,806658.61833055
0.171,827984.944939876
0.173,849617.255182235
0.175,871556.325696925
0.177,893802.926133215
0.179,916357.819292082
0.181,939221.761263516
0.183,962395.501559564
0.185,985879.783243317
0.187,1009675.343053975
0.189,1033782.911528178
0.191,1058203.213117737
0.193,1082936.966303911
0.195,1107984.883708372
0.197,1133347.672200984
0.199,1159026.033004512
0.201,1185020.661796393
0.203,1211332.24880767
0.205,1237961.478919192
0.207,1264909.031755197
0.209,1292175.581774357
0.211,1319761.798358385
0.213,1347668.3458983
0.215,1375895.883878411
0.217,1404445.066958129
0.219,1433316.545051659
0.221,1462510.963405668
0.223,1492028.962674968
0.225,1521871.178996318
0.227,1552038.244060385
0.229,1582530.785181923
0.231,1613349.425368251
0.233,1644494.783386066
0.235,1675967.473826652
0.237,1707768.107169534
0.239,1739897.289844639
0.241,1772355.624292993
0.243,1805143.709026018
0.245,1838262.13868345
0.247,1871711.504089952
0.249,1905492.392310439
0.251,1939605.386704155
0.253,1974051.066977549
0.255,2008830.009235989
0.257,2043942.786034329
0.259,2079389.966426387
0.261,2115172.116013356
0.263,2151289.796991162
0.265,2187743.568196837
0.267,2224533.985153897
0.269,2261661.600116785
0.271,2299126.962114367
0.273,2336930.616992562
0.275,2375073.10745607
0.277,2413554.973109276
0.279,2452376.750496311
0.281,2491538.973140319
0.283,2531042.171581938
0.285,2570886.87341703
0.287,2611073.603333664
0.289,2651602.883148379
0.291,2692475.23184175
0.293,2733691.165593258
0.295,2775251.197815525
0.297,2817155.839187865
0.299,2859405.597689224
0.301,2902000.978630503
0.303,2944942.484686276
0.305,2988230.615925928
0.307,3031865.86984422
0.309,3075848.741391291
0.311,3120179.723002139
0.313,3164859.304625544
0.315,3209887.973752497
0.317,3255266.215444117
0.319,3300994.512359067
0.321,3347073.344780515
0.323,3393503.190642595
0.325,3440284.525556431
0.327,3487417.822835711
0.329,3534903.553521815
0.331,3582742.18640853
0.333,3630934.188066334
0.335,3679480.022866278
0.337,3728380.153003485
0.339,3777635.038520229
0.341,3827245.13732866
0.343,3877210.905233145
0.345,3927532.79595225
0.347,3978211.261140364
0.349,4029246.750408969
0.351,4080639.711347587
0.353,4132390.58954437
0.355,4184499.828606386
0.357,4236967.870179581
0.359,4289795.153968402
0.361,4342982.117755169
0.363,4396529.197419096
0.365,4450436.826955033
0.367,4504705.438491958
0.369,4559335.462311121
0.371,4614327.326863972
0.373,4669681.458789799
0.375,4725398.282933085
0.377,4781478.222360632
0.379,4837921.698378423
0.381,4894729.130548225
0.383,4951900.936703968
0.385,5009437.532967865
0.387,5067339.333766315
0.389,5125606.75184557
0.391,5184240.198287171
0.393,5243240.082523184
0.395,5302606.812351177
0.397,5362340.793949053
0.399,5422442.431889596
0.401,5482912.12915488
0.403,5543750.287150441
0.405,5604957.305719264
0.407,5666533.583155562
0.409,5728479.516218401
0.411,5790795.500145104
0.413,5853481.928664489
0.415,5916539.194009923
0.417,5979967.686932204
0.419,6043767.79671228
0.421,6107939.911173768
0.423,6172484.416695344
0.425,6237401.698222948
0.427,6302692.139281823
0.429,6368356.12198843
0.431,6434394.027062159
0.433,6500806.23383694
0.435,6567593.120272652
0.437,6634755.062966438
0.439,6702292.437163832
0.441,6770205.616769775
0.443,6838494.974359469
0.445,6907160.881189113
0.447,6976203.707206491
0.449,7045623.821061434
0.451,7115421.590116151
0.453,7185597.380455436
0.455,7256151.556896733
0.457,7327084.483000111
0.459,7398396.521078075
0.461,7470088.032205287
0.463,7542159.37622817
0.465,7614610.911774368
0.467,7687442.996262135
0.469,7760655.985909569
0.471,7834250.235743771
0.473,7908226.099609871
0.475,7982583.930179958
0.477,8057324.078961912
0.479,8132446.896308116
